MJD,Aether_x,Aether_y,Aether_z,Aether_vx,Aether_vy,Aether_vz,Caelus_x,Caelus_y,Caelus_z,Caelus_vx,Caelus_vy,Caelus_vz,Ventus_x,Ventus_y,Ventus_z,Ventus_vx,Ventus_vy,Ventus_vz,Glacia_x,Glacia_y,Glacia_z,Glacia_vx,Glacia_vy,Glacia_vz
60955.0,12257417.317396,-46002707.438898,0.000000,52.134812,14.970391,0.000000,1925150.752898,-132797123.322269,0.000000,32.032227,1.168742,0.000000,56694093.006210,220039283.593440,0.000000,-25.031925,5.632261,0.000000,-103815743.008800,398967154.492282,0.000000,-17.461914,-5.681577,0.000000
60960.0,32414161.613677,-34316080.252589,0.000000,39.222502,38.127727,0.000000,15726705.446846,-131555272.458820,0.000000,31.804273,4.579333,0.000000,45821409.360623,222227417.275908,0.000000,-25.295446,4.495303,0.000000,-111339540.828355,396438764.410465,0.000000,-17.369351,-6.023768,0.000000
60965.0,44714894.807988,-14341684.374582,0.000000,16.478099,52.454941,0.000000,29352433.282637,-128844256.063046,0.000000,31.218033,7.964363,0.000000,34846795.383039,223921121.051590,0.000000,-25.503643,3.343735,0.000000,-118821882.740512,393762771.550477,0.000000,-17.269987,-6.364901,0.000000
60970.0,46032329.498602,9146391.118340,0.000000,-10.514787,53.998321,0.000000,42647569.179131,-124683043.772880,0.000000,30.274159,11.287006,0.000000,23794372.673395,225114740.744376,0.000000,-25.655523,2.180615,0.000000,-126259828.876499,390939661.878788,0.000000,-17.163813,-6.704841,0.000000
60975.0,36026285.676503,30390176.802999,0.000000,-34.788524,42.319418,0.000000,55458405.855675,-119106656.664708,0.000000,28.976936,14.509823,0.000000,12688648.142634,225803961.023203,0.000000,-25.750296,1.009082,0.000000,-133650435.677162,387969980.548796,0.000000,-17.050822,-7.043450,0.000000
60980.0,17255006.731684,44263429.080657,0.000000,-50.269230,20.675295,0.000000,67633913.724692,-112166364.782846,0.000000,27.334514,17.595086,0.000000,1554424.816774,225985837.896646,0.000000,-25.787383,-0.167658,0.000000,-140990757.065962,384854332.501804,0.000000,-16.931010,-7.380590,0.000000
60985.0,-5637591.583862,47633146.393305,0.000000,-53.579790,-5.262328,0.000000,79027458.286132,-103929731.995837,0.000000,25.359125,20.505159,0.000000,-9583290.603564,225658823.813834,0.000000,-25.766421,-1.346349,0.000000,-148277845.654881,381593383.048487,0.000000,-16.804374,-7.716118,0.000000
60990.0,-27253015.255057,39995387.203567,0.000000,-44.586659,-29.302451,0.000000,89498604.119692,-94480480.798750,0.000000,23.067262,23.202950,0.000000,-20699382.675678,224822784.997443,0.000000,-25.687270,-2.523704,0.000000,-155508753.983219,378187858.429394,0.000000,-16.670917,-8.049895,0.000000
60995.0,-42750155.195626,23342649.841889,0.000000,-25.856683,-46.275326,0.000000,98914988.067561,-83918149.105742,0.000000,20.479821,25.652421,0.000000,-31768723.838324,223479010.726099,0.000000,-25.550015,-3.696426,0.000000,-162680535.789278,374638546.352988,0.000000,-16.530641,-8.381777,0.000000
61000.0,-48805251.674062,1521307.293978,0.000000,-1.680975,-52.848484,0.000000,107154237.019723,-72357511.917201,0.000000,17.622163,27.819168,0.000000,-42766271.889649,221630214.382210,0.000000,-25.354965,-4.861222,0.000000,-169790247.314782,370946296.509716,0.000000,-16.383556,-8.711620,0.000000
61005.0,-44152034.701342,-20634558.159498,0.000000,22.843777,-47.800053,0.000000,114105898.138999,-59927743.296576,0.000000,14.524102,29.671043,0.000000,-53667167.461401,219280526.184760,0.000000,-25.102657,-6.014829,0.000000,-176834948.641901,367112021.060544,0.000000,-16.229670,-9.039279,0.000000
61010.0,-29762005.733848,-38228792.378699,0.000000,42.573128,-32.065097,0.000000,119673341.790213,-46771298.601605,0.000000,11.219792,31.178818,0.000000,-64446830.624615,216435477.632780,0.000000,-24.793849,-7.154026,0.000000,-183811705.062621,363136695.098395,0.000000,-16.068998,-9.364607,0.000000
61015.0,-8707379.178662,-47231071.975939,0.000000,53.059604,-8.702835,0.000000,123775590.373138,-33042503.542085,0.000000,7.747494,32.316881,0.000000,-75081055.770356,213101977.791561,0.000000,-24.429513,-8.275658,0.000000,-190717588.480165,359021357.080891,0.000000,-15.901557,-9.687458,0.000000
61020.0,14326844.857924,-45357422.466160,0.000000,51.448239,17.329799,0.000000,126349020.299660,-18905845.406653,0.000000,4.149219,33.063914,0.000000,-85546103.932486,209288281.657872,0.000000,-24.010836,-9.376652,0.000000,-197549678.842105,354767109.232777,0.000000,-15.727368,-10.007684,0.000000
61025.0,33946271.475982,-32757135.489504,0.000000,37.464984,39.904097,0.000000,127348880.155221,-4533972.562677,0.000000,0.470232,33.403557,0.000000,-95818791.757209,205003950.940012,0.000000,-23.539203,-10.454035,0.000000,-204305065.604689,350375117.916393,0.000000,-15.546452,-10.325135,0.000000
